invoice_id,order_id,issue_date,due_date,vendor_name,description,subtotal,tax,total,currency
INV-001,order_IGthkBFOlisrab,2025-09-08,2025-09-30,Stripe Payments,Stripe Payments - Usage-based,373.36,67.2,440.56,USD
INV-002,order_J7UFF0lyth8Xiz,2025-12-15,2026-01-07,Amazon Web Services,Amazon Web Services - Usage-based,301.74,54.31,356.05,EUR
INV-003,order_911XczKWprqEnh,2025-08-22,2025-09-15,Zoho Corporation,Zoho Corporation - One-time Payment,32.45,5.84,38.29,USD
INV-004,order_q0wOBTQN62ToY4,2026-07-25,2026-08-16,Salesforce.com,Salesforce.com - Annual Renewal,18764.22,3377.56,22141.78,INR
INV-005,order_uakW9Ieu1JJqkX,2026-07-29,2026-08-21,Shopify Inc,Shopify Inc - Annual Renewal,57.48,10.35,67.83,GBP
INV-006,order_vVSJAss8vfGm0f,2025-04-28,2025-05-21,Twilio Inc,Twilio Inc - One-time Payment,343.34,61.8,405.14,USD
INV-007,order_leGW9yOOjEty8h,2026-07-07,2026-07-22,Shopify Inc,Shopify Inc - One-time Payment,281.2,50.62,331.82,GBP
INV-008,order_gl75uqsYpX3bPD,2025-06-19,2025-07-12,Shopify Inc,Shopify Inc - Subscription,45391.15,8170.41,53561.56,INR
INV-009,order_EBUfRehs2jPdZF,2025-03-02,2025-03-24,Freshworks Inc,Freshworks Inc - Annual Renewal,11.59,2.09,13.68,EUR
INV-010,order_DtxGLhILc2Ey1G,2025-02-25,2025-03-15,Atlassian,Atlassian - Subscription,20249.61,3644.93,23894.54,INR
INV-011,order_NYDX9Qwca79isJ,2026-05-13,2026-06-12,Microsoft Azure,Microsoft Azure - Usage-based,78.41,14.11,92.52,EUR
INV-012,order_uDkf0J7ELkpOH3,2026-07-10,2026-07-26,Zoho Corporation,Zoho Corporation - One-time Payment,293.8,52.88,346.68,USD
INV-013,order_5MsOYpSTuEc99E,2026-08-21,2026-09-15,Google Cloud Platform,Google Cloud Platform - One-time Payment,215.42,38.78,254.2,USD
INV-014,order_WJzrl9oAySp6IH,2025-03-12,2025-04-03,Twilio Inc,Twilio Inc - Subscription,400.48,72.09,472.57,EUR
INV-015,order_MnQe40FaRAvnQt,2025-08-04,2025-08-29,Shopify Inc,Shopify Inc - Annual Renewal,108.53,19.54,128.07,GBP
INV-016,order_zkJHT3x13NPGw2,2025-06-02,2025-06-18,Amazon Web Services,Amazon Web Services - Annual Renewal,46.87,8.44,55.31,USD
INV-017,order_BtU5x1yQwG21Ny,2025-07-01,2025-07-29,Shopify Inc,Shopify Inc - Annual Renewal,371.65,66.9,438.55,EUR
INV-018,order_BLU17RnY8h6H8L,2025-08-22,2025-09-13,Atlassian,Atlassian - Usage-based,302.04,54.37,356.41,GBP
INV-019,order_b9H3LCbgyq6tMa,2025-12-20,2026-01-14,Google Cloud Platform,Google Cloud Platform - Usage-based,302.32,54.42,356.74,USD
INV-020,order_pUriLpXuKjZzSN,2025-11-04,2025-11-28,Cloudflare Inc,Cloudflare Inc - Usage-based,362.68,65.28,427.96,USD
INV-021,order_x7toRpmF7OTyJC,2025-08-07,2025-09-06,Dropbox Inc,Dropbox Inc - Annual Renewal,21707.23,3907.3,25614.53,INR
INV-022,order_sXYJq312wNxrci,2026-08-13,2026-09-03,Microsoft Azure,Microsoft Azure - Subscription,20406.67,3673.2,24079.87,INR
INV-023,order_63lsfzh3udQPnv,2026-06-28,2026-07-23,Dropbox Inc,Dropbox Inc - Annual Renewal,345.11,62.12,407.23,EUR
INV-024,order_QThIOrrDZhZMa4,2025-10-20,2025-11-11,Freshworks Inc,Freshworks Inc - Subscription,165.32,29.76,195.08,GBP
INV-025,order_u07ZuhlNNbBUqZ,2025-12-27,2026-01-20,Slack Technologies,Slack Technologies - One-time Payment,1234.48,222.21,1456.69,INR
INV-026,order_4kpFa1LQUcU2R6,2026-07-01,2026-07-16,Dropbox Inc,Dropbox Inc - Annual Renewal,420.4,75.67,496.07,EUR
INV-027,order_9Vowou6MBJHpiN,2026-07-07,2026-07-23,Twilio Inc,Twilio Inc - Usage-based,240.45,43.28,283.73,USD
INV-028,order_7GBTp7YsEqmGv0,2025-04-28,2025-05-18,Atlassian,Atlassian - Subscription,263.0,47.34,310.34,EUR
INV-029,order_fV0yG7nzrbt7Qy,2026-01-15,2026-02-01,Google Cloud Platform,Google Cloud Platform - Annual Renewal,198.68,35.76,234.44,GBP
INV-030,order_TP5RbujpUeUeVQ,2026-08-30,2026-09-22,Dropbox Inc,Dropbox Inc - Usage-based,39707.2,7147.3,46854.5,INR
INV-031,order_OZiOdsbBSZPpWi,2025-07-15,2025-08-01,Twilio Inc,Twilio Inc - Usage-based,263.15,47.37,310.52,USD
INV-032,order_TOsTu6qLtRkvl8,2026-04-10,2026-05-03,Zoom Video Communications,Zoom Video Communications - One-time Payment,133.69,24.06,157.75,GBP
INV-033,order_rHCDS6nuGARdV7,2025-11-06,2025-11-21,DigitalOcean,DigitalOcean - Usage-based,160.11,28.82,188.93,EUR
INV-034,order_EnDJiS9HvlxNgb,2026-02-15,2026-03-17,Adobe Creative Cloud,Adobe Creative Cloud - Annual Renewal,412.84,74.31,487.15,USD
INV-035,order_6MNoJKEAbkSOrr,2025-03-03,2025-03-21,DigitalOcean,DigitalOcean - Annual Renewal,15288.72,2751.97,18040.69,INR
INV-036,order_aho4zEKTujRHqr,2026-08-27,2026-09-17,Microsoft Azure,Microsoft Azure - Usage-based,396.55,71.38,467.93,EUR
INV-037,order_tlBOp1kBvyjvKg,2025-02-10,2025-03-10,Adobe Creative Cloud,Adobe Creative Cloud - Annual Renewal,4732.95,851.93,5584.88,INR
INV-038,order_8dZTGJZepYvCFP,2026-03-23,2026-04-22,Twilio Inc,Twilio Inc - Subscription,427.21,76.9,504.11,EUR
INV-039,order_ZLWumvMi5brH8l,2026-07-10,2026-08-08,Slack Technologies,Slack Technologies - One-time Payment,332.25,59.8,392.05,USD
INV-040,order_F94cHzesfQz8Pi,2026-07-20,2026-08-17,Salesforce.com,Salesforce.com - Annual Renewal,205.17,36.93,242.1,GBP
INV-041,order_VwQAtzjo1beUvX,2025-10-10,2025-11-07,Zoho Corporation,Zoho Corporation - Usage-based,371.4,66.85,438.25,EUR
INV-042,order_CuryXpy8eCfk12,2025-08-28,2025-09-25,Zoho Corporation,Zoho Corporation - Annual Renewal,248.68,44.76,293.44,EUR
